target_id	target_kind	label	tags	status	release_binary_bytes	inspection_binary_bytes	module_count	release_size_reduction_pct	inspection_size_reduction_pct	module_reduction_pct	selected_detector_count	registered_detector_evidence	excluded_detector_evidence	log_dir	raw_dir
full	full	Full baseline		pass	104756354	149584466	255				30	not_checked_for_full_baseline	not_checked_for_full_baseline	logs/full	raw/full
akamai	single	Akamai	remove_all_resourcedetection_detectors,enable_resourcedetection_akamai_detector	pass	30334210	44060754	154	71.04	70.54	39.61	1	present:akamai	no_unselected_detector_symbols	logs/akamai	raw/akamai
aks	single	AKS	remove_all_resourcedetection_detectors,enable_resourcedetection_aks_detector	pass	30061154	43674162	154	71.30	70.80	39.61	1	present:aks	no_unselected_detector_symbols	logs/aks	raw/aks
alibaba_ecs	single	Alibaba ECS	remove_all_resourcedetection_detectors,enable_resourcedetection_alibaba_ecs_detector	pass	30077874	43694898	154	71.29	70.79	39.61	1	present:alibaba_ecs	no_unselected_detector_symbols	logs/alibaba_ecs	raw/alibaba_ecs
azure	single	Azure	remove_all_resourcedetection_detectors,enable_resourcedetection_azure_detector	pass	30061266	43676754	154	71.30	70.80	39.61	1	present:azure	no_unselected_detector_symbols	logs/azure	raw/azure
azurecontainerapps	single	Azure Container Apps	remove_all_resourcedetection_detectors,enable_resourcedetection_azurecontainerapps_detector	pass	30060898	43673458	153	71.30	70.80	40.00	1	present:azurecontainerapps	no_unselected_detector_symbols	logs/azurecontainerapps	raw/azurecontainerapps
consul	single	Consul	remove_all_resourcedetection_detectors,enable_resourcedetection_consul_detector	pass	30992578	44968402	168	70.41	69.94	34.12	1	present:consul	no_unselected_detector_symbols	logs/consul	raw/consul
digitalocean	single	DigitalOcean	remove_all_resourcedetection_detectors,enable_resourcedetection_digitalocean_detector	pass	30094626	43728066	153	71.27	70.77	40.00	1	present:digitalocean	no_unselected_detector_symbols	logs/digitalocean	raw/digitalocean
docker	single	Docker	remove_all_resourcedetection_detectors,enable_resourcedetection_docker_detector	pass	30961554	44885586	163	70.44	69.99	36.08	1	present:docker	no_unselected_detector_symbols	logs/docker	raw/docker
dynatrace	single	Dynatrace	remove_all_resourcedetection_detectors,enable_resourcedetection_dynatrace_detector	pass	30060562	43672898	152	71.30	70.80	40.39	1	present:dynatrace	no_unselected_detector_symbols	logs/dynatrace	raw/dynatrace
ec2	single	EC2	remove_all_resourcedetection_detectors,enable_resourcedetection_ec2_detector	pass	57871586	82266178	168	44.76	45.00	34.12	1	present:ec2	no_unselected_detector_symbols	logs/ec2	raw/ec2
ecs	single	ECS	remove_all_resourcedetection_detectors,enable_resourcedetection_ecs_detector	pass	30095122	43714002	154	71.27	70.78	39.61	1	present:ecs	no_unselected_detector_symbols	logs/ecs	raw/ecs
eks	single	EKS	remove_all_resourcedetection_detectors,enable_resourcedetection_eks_detector	pass	88593810	126526818	202	15.43	15.41	20.78	1	present:eks	no_unselected_detector_symbols	logs/eks	raw/eks
elastic_beanstalk	single	Elastic Beanstalk	remove_all_resourcedetection_detectors,enable_resourcedetection_elastic_beanstalk_detector	pass	30061058	43675826	153	71.30	70.80	40.00	1	present:elastic_beanstalk	no_unselected_detector_symbols	logs/elastic_beanstalk	raw/elastic_beanstalk
env	single	Environment	remove_all_resourcedetection_detectors,enable_resourcedetection_env_detector	pass	30044002	43655618	152	71.32	70.82	40.39	1	present:env	no_unselected_detector_symbols	logs/env	raw/env
gcp	single	GCP	remove_all_resourcedetection_detectors,enable_resourcedetection_gcp_detector	pass	42888562	61941314	163	59.06	58.59	36.08	1	present:gcp	no_unselected_detector_symbols	logs/gcp	raw/gcp
heroku	single	Heroku	remove_all_resourcedetection_detectors,enable_resourcedetection_heroku_detector	pass	30060642	43673602	152	71.30	70.80	40.39	1	present:heroku	no_unselected_detector_symbols	logs/heroku	raw/heroku
hetzner	single	Hetzner	remove_all_resourcedetection_detectors,enable_resourcedetection_hetzner_detector	pass	30145762	43805234	153	71.22	70.72	40.00	1	present:hetzner	no_unselected_detector_symbols	logs/hetzner	raw/hetzner
ibmcloud_classic	single	IBM Cloud Classic	remove_all_resourcedetection_detectors,enable_resourcedetection_ibmcloud_classic_detector	pass	30061362	43677586	155	71.30	70.80	39.22	1	present:ibmcloud_classic	no_unselected_detector_symbols	logs/ibmcloud_classic	raw/ibmcloud_classic
ibmcloud_vpc	single	IBM Cloud VPC	remove_all_resourcedetection_detectors,enable_resourcedetection_ibmcloud_vpc_detector	pass	30077954	43710578	153	71.29	70.78	40.00	1	present:ibmcloud_vpc	no_unselected_detector_symbols	logs/ibmcloud_vpc	raw/ibmcloud_vpc
k8s_api	single	K8s API	remove_all_resourcedetection_detectors,enable_resourcedetection_k8s_api_detector	pass	61515122	89036018	190	41.28	40.48	25.49	1	present:k8s_api; present:k8snode_alias	no_unselected_detector_symbols	logs/k8s_api	raw/k8s_api
kubeadm	single	Kubeadm	remove_all_resourcedetection_detectors,enable_resourcedetection_kubeadm_detector	pass	61515250	89035698	190	41.28	40.48	25.49	1	present:kubeadm	no_unselected_detector_symbols	logs/kubeadm	raw/kubeadm
lambda	single	Lambda	remove_all_resourcedetection_detectors,enable_resourcedetection_lambda_detector	pass	30060658	43674082	152	71.30	70.80	40.39	1	present:lambda	no_unselected_detector_symbols	logs/lambda	raw/lambda
nova	single	OpenStack Nova	remove_all_resourcedetection_detectors,enable_resourcedetection_nova_detector	pass	30061010	43676098	153	71.30	70.80	40.00	1	present:nova	no_unselected_detector_symbols	logs/nova	raw/nova
openshift	single	OpenShift	remove_all_resourcedetection_detectors,enable_resourcedetection_openshift_detector	pass	30061714	43676994	153	71.30	70.80	40.00	1	present:openshift	no_unselected_detector_symbols	logs/openshift	raw/openshift
oraclecloud	single	Oracle Cloud	remove_all_resourcedetection_detectors,enable_resourcedetection_oraclecloud_detector	pass	30061154	43677042	154	71.30	70.80	39.61	1	present:oraclecloud	no_unselected_detector_symbols	logs/oraclecloud	raw/oraclecloud
scaleway	single	Scaleway	remove_all_resourcedetection_detectors,enable_resourcedetection_scaleway_detector	pass	30164562	43824690	154	71.21	70.70	39.61	1	present:scaleway	no_unselected_detector_symbols	logs/scaleway	raw/scaleway
system	single	System	remove_all_resourcedetection_detectors,enable_resourcedetection_system_detector	pass	30164338	43831522	154	71.21	70.70	39.61	1	present:system	no_unselected_detector_symbols	logs/system	raw/system
tencent_cvm	single	Tencent CVM	remove_all_resourcedetection_detectors,enable_resourcedetection_tencent_cvm_detector	pass	30061314	43677490	154	71.30	70.80	39.61	1	present:tencent_cvm	no_unselected_detector_symbols	logs/tencent_cvm	raw/tencent_cvm
upcloud	single	UpCloud	remove_all_resourcedetection_detectors,enable_resourcedetection_upcloud_detector	pass	30060914	43674242	153	71.30	70.80	40.00	1	present:upcloud	no_unselected_detector_symbols	logs/upcloud	raw/upcloud
vultr	single	Vultr	remove_all_resourcedetection_detectors,enable_resourcedetection_vultr_detector	pass	30060978	43674594	153	71.30	70.80	40.00	1	present:vultr	no_unselected_detector_symbols	logs/vultr	raw/vultr
oraclecloud-env-system	combo	Oracle Cloud + env + system	remove_all_resourcedetection_detectors,enable_resourcedetection_oraclecloud_detector,enable_resourcedetection_env_detector,enable_resourcedetection_system_detector	pass	30198162	43888530	155	71.17	70.66	39.22	3	present:oraclecloud; present:env; present:system	no_unselected_detector_symbols	logs/oraclecloud-env-system	raw/oraclecloud-env-system
